domain,curve,pilot_fraction,pilot_points,target_horizon,method,prediction,absolute_error,lower,upper,width,covered,minimum_pilot_radius
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,continuous_cert_1.0x,0.3483865899814311,0.004981939293259741,0.3446308165818861,0.35214236338097615,0.007511546799090052,0,0.021911551405069642
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,continuous_cert_2.0x,0.35251337449348114,0.009108723805309749,0.31398674260388093,0.39104000638308134,0.07705326377920041,1,0.021911551405069642
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,continuous_cert_3.0x,0.3504531755266006,0.007048524838429215,0.2833426686258759,0.4175636824273253,0.13422101380144935,1,0.021911551405069642
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,continuous_cert_4.0x,0.34875298228020296,0.005348331592031574,0.25711943105694113,0.4403865335034648,0.18326710244652367,1,0.021911551405069642
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,one_power,0.3413205718323828,0.002084078855788596,nan,nan,,,0.021911551405069642
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,two_power,0.34132055819917484,0.0020840924889965473,nan,nan,,,0.021911551405069642
IC,bird_5|MiX/B/16,0.85,20,1.1042553191489362,one_power_bootstrap,0.3413205718323828,0.002084078855788596,0.33849712791182207,0.3464667872784231,0.007969659366601045,1,0.021911551405069642
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,continuous_cert_1.0x,0.3682528906289345,0.0191471404608482,0.36495631804568796,0.37154946321218113,0.006593145166493175,0,0.010573164373388736
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,continuous_cert_2.0x,0.37664390687898175,0.010756124210800966,0.35367653132825544,0.399611282429708,0.045934751101452564,1,0.010573164373388736
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,continuous_cert_3.0x,0.37859347836233237,0.008806552727450345,0.3430665580991923,0.4141203986254724,0.07105384052628011,1,0.010573164373388736
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,continuous_cert_4.0x,0.38014768696984413,0.007252344119938581,0.3324565848701291,0.4278387890695592,0.09538220419943011,1,0.010573164373388736
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,one_power,0.3768104104376985,0.010589620652084242,nan,nan,,,0.010573164373388736
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,two_power,0.3768104057623851,0.0105896253273976,nan,nan,,,0.010573164373388736
IC,c_5|MiX/B/16,0.5,12,1.4595238095238094,one_power_bootstrap,0.3768104104376985,0.010589620652084242,0.370452533891274,0.38241986904858943,0.011967335157315406,0,0.010573164373388736
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,continuous_cert_1.0x,0.37461257828716166,0.012787452802621058,0.371511243051171,0.3777139135231523,0.006202670471981309,0,0.01127491081469185
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,continuous_cert_2.0x,0.3803499656623519,0.007050065427430807,0.3591256861663457,0.4015742451583581,0.042448558992012386,1,0.01127491081469185
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,continuous_cert_3.0x,0.38243634846245034,0.0049636826273323775,0.3479433009441317,0.41692939598076906,0.06898609503663738,1,0.01127491081469185
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,continuous_cert_4.0x,0.38408860379755344,0.0033114272922292742,0.3367863476621932,0.4313908599329137,0.09460451227072053,1,0.01127491081469185
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,one_power,0.37921168904348523,0.008188342046297481,nan,nan,,,0.01127491081469185
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,two_power,0.37921169733925675,0.008188333750525967,nan,nan,,,0.01127491081469185
IC,c_5|MiX/B/16,0.7,17,1.2235528942115768,one_power_bootstrap,0.37921168904348523,0.008188342046297481,0.37473571149382134,0.3834910995071075,0.00875538801328618,0,0.01127491081469185
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,continuous_cert_1.0x,0.37618355856660735,0.01121647252317537,0.37310721858322454,0.3792598985499902,0.006152679966765662,0,0.011451970551170993
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,continuous_cert_2.0x,0.3812886972794468,0.006111333810335906,0.36050786842296795,0.4020695261359257,0.04156165771295778,1,0.011451970551170993
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,continuous_cert_3.0x,0.3833431879754763,0.00405684311430643,0.34915788805432946,0.41752848789662317,0.06837059984229371,1,0.011451970551170993
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,continuous_cert_4.0x,0.38382355224650566,0.0035764788432770533,0.3378399883805283,0.429807116112483,0.0919671277319547,1,0.011451970551170993
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,one_power,0.38071996808970204,0.0066800630000806716,nan,nan,,,0.011451970551170993
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,two_power,0.38071997687051357,0.006680054219269149,nan,nan,,,0.011451970551170993
IC,c_5|MiX/B/16,0.85,20,1.116575591985428,one_power_bootstrap,0.38071996808970204,0.0066800630000806716,0.37698867932817187,0.3844859928578329,0.007497313529661043,0,0.011451970551170993
IC,cal_5|MiX/B/16,0.5,12,2.397134923089811,continuous_cert_1.0x,0.17488323696472616,0.004064092556453042,0.17437899732634937,0.17538747660310294,0.001008479276753571,0,0.0625389107890847
IC,cal_5|MiX/B/16,0.5,12,2.397134923089811,continuous_cert_2.0x,0.20720287079537145,0.028255541274192247,0.09722199561288648,0.3171837459778564,0.21996175036496995,1,0.0625389107890847
IC,cal_5|MiX/B/16,0.5,12,2.397134923089811,continuous_cert_3.0x,0.22300630894524007,0.04405897942406087,0.05201630759199338,0.39399631029848675,0.34198000270649337,1,0.0625389107890847
